,Rank,Article,Journel,Title,Citations,Cite
0,1,panwar (2011),Renewable & Sustainable Energy Reviews,Role of renewable energy sources in environmental protection: a review,2024,"Panwar, N. L., Kaushik, S. C., & Kothari, S. (2011). Role of renewable energy sources in environmental protection: A review. Renewable and Sustainable Energy Reviews, 15(3), 1513â1524. https://doi.org/10.1016/j.rser.2010.11.037
"
1,2,kumar (2017b),Renewable & Sustainable Energy Reviews,A review of multi criteria decision making (mcdm) towards sustainable renewable energy development,791,"Kumar, A., Sah, B., Singh, A. R., Deng, Y., He, X., Kumar, P., & Bansal, R. C. (2017). A review of multi criteria decision making (MCDM) towards sustainable renewable energy development. Renewable and Sustainable Energy Reviews, 69, 596â609. https://doi.org/10.1016/j.rser.2016.11.191
"
2,3,destek (2020),Journal Of Cleaner Production,"Renewable, non-renewable energy consumption, economic growth, trade openness and ecological footprint: evidence from organisation for economic co-operation and development countries",577,"Destek, M. A., & Sinha, A. (2020). Renewable, non-renewable energy consumption, economic growth, trade openness and ecological footprint: Evidence from organisation for economic Co-operation and development countries. Journal of Cleaner Production, 242, 118537. https://doi.org/10.1016/j.jclepro.2019.118537
"
3,4,sinha (2014),Renewable & Sustainable Energy Reviews,Review of software tools for hybrid renewable energy systems,566,"Sinha, S., & Chandel, S. S. (2014). Review of software tools for hybrid renewable energy systems. Renewable and Sustainable Energy Reviews, 32, 192â205. https://doi.org/10.1016/j.rser.2014.01.035
"
4,5,bajpai (2012),Renewable & Sustainable Energy Reviews,Hybrid renewable energy systems for power generation in stand-alone applications: a review,490,"Bajpai, P., & Dash, V. (2012). Hybrid renewable energy systems for power generation in stand-alone applications: A review. Renewable and Sustainable Energy Reviews, 16(5), 2926â2939. https://doi.org/10.1016/j.rser.2012.02.009
"
5,6,sharif (2020b),Sustainable Cities And Society,Revisiting the role of renewable and non-renewable energy consumption on turkey's ecological footprint: evidence from quantile ardl approach,473,"Sharif, A., Baris-Tuzemen, O., Uzuner, G., Ozturk, I., & Sinha, A. (2020). Revisiting the role of renewable and non-renewable energy consumption on Turkeyâs ecological footprint: Evidence from Quantile ARDL approach. Sustainable Cities and Society, 57, 102138. https://doi.org/10.1016/j.scs.2020.102138
"
6,7,chauhan (2014),Renewable & Sustainable Energy Reviews,"A review on integrated renewable energy system based power generation for stand-alone applications: configurations, storage options, sizing methodologies and control",472,"Chauhan, A., & Saini, R. P. (2014). A review on Integrated Renewable Energy System based power generation for stand-alone applications: Configurations, storage options, sizing methodologies and control. Renewable and Sustainable Energy Reviews, 38, 99â120. https://doi.org/10.1016/j.rser.2014.05.079
"
7,8,khare (2016c),Renewable & Sustainable Energy Reviews,Solar-wind hybrid renewable energy system: a review,437,"Khare, V., Nema, S., & Baredar, P. (2016). Solarâwind hybrid renewable energy system: A review. Renewable and Sustainable Energy Reviews, 58, 23â33. https://doi.org/10.1016/j.rser.2015.12.223
"
8,9,san cristobal (2011),Renewable Energy,Multi-criteria decision-making in the selection of a renewable energy project in spain: the vikor method,429,"San CristÃ³bal, J. R. (2011). Multi-criteria decision-making in the selection of a renewable energy project in spain: The Vikor method. Renewable Energy, 36(2), 498â502. https://doi.org/10.1016/j.renene.2010.07.031
"
9,10,sinha (2018a),Renewable Energy,Estimation of environmental kuznets curve for co2 emission: role of renewable energy generation in india,386,"Sinha, A., & Shahbaz, M. (2018). Estimation of Environmental Kuznets Curve for CO2 emission: Role of renewable energy generation in India. Renewable Energy, 119, 703â711. https://doi.org/10.1016/j.renene.2017.12.058
"
