,Rank,Citations,Publications,Co-Author,Total Co-Authorship
0,1,India (37398),India (1322),India (38),India (953)
1,2,Peoples R China (7476),Peoples R China (160),Saudi Arabia (34),Peoples R China (345)
2,3,Pakistan (3762),Saudi Arabia (110),England (33),Saudi Arabia (259)
3,4,Turkey (3666),Usa (96),Australia (32),Pakistan (192)
4,5,Usa (2594),Pakistan (82),Usa (32),Usa (188)
5,6,Australia (1939),Australia (58),Peoples R China (32),Australia (127)
6,7,Saudi Arabia (1734),England (55),South Korea (30),England (125)
7,8,Malaysia (1666),Malaysia (53),Pakistan (29),Malaysia (121)
8,9,England (1652),Turkey (51),Italy (27),South Korea (118)
9,10,South Korea (1507),South Korea (51),Vietnam (25),Bangladesh (102)
